stop_id,stop_name,stop_lat,stop_lon
st-0-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,42.26732167734421,-71.09366655349733
st-1-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,42.27233,-71.09354
st-2-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,42.27715,-71.09338
st-3-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,42.28508,-71.09108
st-4-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,42.295,-71.08782
st-5-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,42.30496,-71.08464
st-6-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,42.30974,-71.08277
st-7-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,42.3177,-71.0821
st-8-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,42.32401,-71.08271
st-9-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,42.32915,-71.08341
st-0-dir-1-rte-79bab5d,st-0-dir-1-rte-79bab5d,42.329298656261926,-71.08480453491212
st-1-dir-1-rte-79bab5d,st-1-dir-1-rte-79bab5d,42.3236,-71.0827
st-2-dir-1-rte-79bab5d,st-2-dir-1-rte-79bab5d,42.31769,-71.08226
st-3-dir-1-rte-79bab5d,st-3-dir-1-rte-79bab5d,42.30948,-71.08271
st-4-dir-1-rte-79bab5d,st-4-dir-1-rte-79bab5d,42.30414,-71.08501
st-5-dir-1-rte-79bab5d,st-5-dir-1-rte-79bab5d,42.29497,-71.08799
st-6-dir-1-rte-79bab5d,st-6-dir-1-rte-79bab5d,42.28513,-71.09124
st-7-dir-1-rte-79bab5d,st-7-dir-1-rte-79bab5d,42.27718,-71.09358
st-8-dir-1-rte-79bab5d,st-8-dir-1-rte-79bab5d,42.27245,-71.09371
st-9-dir-1-rte-79bab5d,st-9-dir-1-rte-79bab5d,42.26747,-71.09389
st-0-dir-0-rte-93c4f45,st-0-dir-0-rte-93c4f45,42.3839083919257,-71.0746765136719
st-1-dir-0-rte-93c4f45,st-1-dir-0-rte-93c4f45,42.38059,-71.08885
st-2-dir-0-rte-93c4f45,st-2-dir-0-rte-93c4f45,42.37056,-71.07694
st-3-dir-0-rte-93c4f45,st-3-dir-0-rte-93c4f45,42.36525,-71.07862
