trip_id,stop_id,stop_sequence,shape_dist_traveled,arrival_time,departure_time
weekday-360-540-dir-0-rte-93c4f45,st-0-dir-0-rte-93c4f45,1,0,06:00:00,06:00:00
weekday-360-540-dir-0-rte-93c4f45,st-1-dir-0-rte-93c4f45,2,1236.0637201727673,06:03:15,06:03:15
weekday-360-540-dir-0-rte-93c4f45,st-2-dir-0-rte-93c4f45,3,3068.714153175346,06:08:06,06:08:06
weekday-360-540-dir-0-rte-93c4f45,st-3-dir-0-rte-93c4f45,4,3708.677249050536,06:09:47,06:09:47
weekday-360-540-dir-0-rte-93c4f45,st-4-dir-0-rte-93c4f45,5,4369.419130752359,06:11:32,06:11:32
weekday-360-540-dir-0-rte-93c4f45,st-5-dir-0-rte-93c4f45,6,5559.569475638291,06:14:40,06:14:40
weekday-360-540-dir-0-rte-93c4f45,st-6-dir-0-rte-93c4f45,7,7466.885296652743,06:19:43,06:19:43
weekday-360-540-dir-0-rte-93c4f45,st-7-dir-0-rte-93c4f45,8,8219.269719874637,06:21:42,06:21:42
weekday-360-540-dir-0-rte-93c4f45,st-8-dir-0-rte-93c4f45,9,8976.859601000484,06:23:42,06:23:42
weekday-360-540-dir-0-rte-93c4f45,st-9-dir-0-rte-93c4f45,10,9982.054907201911,06:26:21,06:26:21
weekday-360-540-dir-0-rte-93c4f45,st-10-dir-0-rte-93c4f45,11,10930.889802306465,06:28:52,06:28:52
weekday-360-540-dir-0-rte-93c4f45,st-11-dir-0-rte-93c4f45,12,11452.52631335304,06:30:14,06:30:14
weekday-540-960-dir-0-rte-93c4f45,st-0-dir-0-rte-93c4f45,1,0,09:00:00,09:00:00
weekday-540-960-dir-0-rte-93c4f45,st-1-dir-0-rte-93c4f45,2,1236.0637201727673,09:03:02,09:03:02
weekday-540-960-dir-0-rte-93c4f45,st-2-dir-0-rte-93c4f45,3,3068.714153175346,09:07:33,09:07:33
weekday-540-960-dir-0-rte-93c4f45,st-3-dir-0-rte-93c4f45,4,3708.677249050536,09:09:08,09:09:08
weekday-540-960-dir-0-rte-93c4f45,st-4-dir-0-rte-93c4f45,5,4369.419130752359,09:10:46,09:10:46
weekday-540-960-dir-0-rte-93c4f45,st-5-dir-0-rte-93c4f45,6,5559.569475638291,09:13:42,09:13:42
weekday-540-960-dir-0-rte-93c4f45,st-6-dir-0-rte-93c4f45,7,7466.885296652743,09:18:24,09:18:24
weekday-540-960-dir-0-rte-93c4f45,st-7-dir-0-rte-93c4f45,8,8219.269719874637,09:20:15,09:20:15
weekday-540-960-dir-0-rte-93c4f45,st-8-dir-0-rte-93c4f45,9,8976.859601000484,09:22:07,09:22:07
weekday-540-960-dir-0-rte-93c4f45,st-9-dir-0-rte-93c4f45,10,9982.054907201911,09:24:36,09:24:36
weekday-540-960-dir-0-rte-93c4f45,st-10-dir-0-rte-93c4f45,11,10930.889802306465,09:26:56,09:26:56
weekday-540-960-dir-0-rte-93c4f45,st-11-dir-0-rte-93c4f45,12,11452.52631335304,09:28:13,09:28:13
weekday-960-1140-dir-0-rte-93c4f45,st-0-dir-0-rte-93c4f45,1,0,16:00:00,16:00:00
weekday-960-1140-dir-0-rte-93c4f45,st-1-dir-0-rte-93c4f45,2,1236.0637201727673,16:03:15,16:03:15
weekday-960-1140-dir-0-rte-93c4f45,st-2-dir-0-rte-93c4f45,3,3068.714153175346,16:08:06,16:08:06
weekday-960-1140-dir-0-rte-93c4f45,st-3-dir-0-rte-93c4f45,4,3708.677249050536,16:09:47,16:09:47
weekday-960-1140-dir-0-rte-93c4f45,st-4-dir-0-rte-93c4f45,5,4369.419130752359,16:11:32,16:11:32
weekday-960-1140-dir-0-rte-93c4f45,st-5-dir-0-rte-93c4f45,6,5559.569475638291,16:14:40,16:14:40
weekday-960-1140-dir-0-rte-93c4f45,st-6-dir-0-rte-93c4f45,7,7466.885296652743,16:19:43,16:19:43
weekday-960-1140-dir-0-rte-93c4f45,st-7-dir-0-rte-93c4f45,8,8219.269719874637,16:21:42,16:21:42
weekday-960-1140-dir-0-rte-93c4f45,st-8-dir-0-rte-93c4f45,9,8976.859601000484,16:23:42,16:23:42
weekday-960-1140-dir-0-rte-93c4f45,st-9-dir-0-rte-93c4f45,10,9982.054907201911,16:26:21,16:26:21
weekday-960-1140-dir-0-rte-93c4f45,st-10-dir-0-rte-93c4f45,11,10930.889802306465,16:28:52,16:28:52
weekday-960-1140-dir-0-rte-93c4f45,st-11-dir-0-rte-93c4f45,12,11452.52631335304,16:30:14,16:30:14
weekday-1140-1380-dir-0-rte-93c4f45,st-0-dir-0-rte-93c4f45,1,0,19:00:00,19:00:00
weekday-1140-1380-dir-0-rte-93c4f45,st-1-dir-0-rte-93c4f45,2,1236.0637201727673,19:03:02,19:03:02
weekday-1140-1380-dir-0-rte-93c4f45,st-2-dir-0-rte-93c4f45,3,3068.714153175346,19:07:33,19:07:33
weekday-1140-1380-dir-0-rte-93c4f45,st-3-dir-0-rte-93c4f45,4,3708.677249050536,19:09:08,19:09:08
weekday-1140-1380-dir-0-rte-93c4f45,st-4-dir-0-rte-93c4f45,5,4369.419130752359,19:10:46,19:10:46
weekday-1140-1380-dir-0-rte-93c4f45,st-5-dir-0-rte-93c4f45,6,5559.569475638291,19:13:42,19:13:42
weekday-1140-1380-dir-0-rte-93c4f45,st-6-dir-0-rte-93c4f45,7,7466.885296652743,19:18:24,19:18:24
weekday-1140-1380-dir-0-rte-93c4f45,st-7-dir-0-rte-93c4f45,8,8219.269719874637,19:20:15,19:20:15
weekday-1140-1380-dir-0-rte-93c4f45,st-8-dir-0-rte-93c4f45,9,8976.859601000484,19:22:07,19:22:07
weekday-1140-1380-dir-0-rte-93c4f45,st-9-dir-0-rte-93c4f45,10,9982.054907201911,19:24:36,19:24:36
weekday-1140-1380-dir-0-rte-93c4f45,st-10-dir-0-rte-93c4f45,11,10930.889802306465,19:26:56,19:26:56
weekday-1140-1380-dir-0-rte-93c4f45,st-11-dir-0-rte-93c4f45,12,11452.52631335304,19:28:13,19:28:13
saturday-360-1380-dir-0-rte-93c4f45,st-0-dir-0-rte-93c4f45,1,0,06:00:00,06:00:00
saturday-360-1380-dir-0-rte-93c4f45,st-1-dir-0-rte-93c4f45,2,1236.0637201727673,06:03:02,06:03:02
saturday-360-1380-dir-0-rte-93c4f45,st-2-dir-0-rte-93c4f45,3,3068.714153175346,06:07:33,06:07:33
