"service_id","date","exception_type"
"BUSS42014-hba44011-Weekday-02","20141212",2
"BUSS42014-hba44011-Weekday-02","20141219",2
"BUSS42014-hba44no1-Weekday-02","20141215",2
"BUSS42014-hba44no1-Weekday-02","20141216",2
"BUSS42014-hba44no1-Weekday-02","20141217",2
"BUSS42014-hba44no1-Weekday-02","20141218",2
"BUSS12015-hba15ns1-Weekday-02","20150101",2
"BUSS12015-hba15ns1-Weekday-02","20150102",2
"BUSS12015-hba15ns1-Weekday-02","20150105",2
"BUSS12015-hba15ns1-Weekday-02","20150106",2
"BUSS12015-hba15ns1-Weekday-02","20150107",2
"BUSS12015-hba15ns1-Weekday-02","20150108",2
"BUSS12015-hba15ns1-Weekday-02","20150109",2
"BUSS12015-hba15ns1-Weekday-02","20150112",2
"BUSS12015-hba15ns1-Weekday-02","20150113",2
"BUSS12015-hba15ns1-Weekday-02","20150114",2
"BUSS12015-hba15ns1-Weekday-02","20150115",2
"BUSS12015-hba15ns1-Weekday-02","20150116",2
"BUSS12015-hba15ns1-Weekday-02","20150119",2
"BUSS12015-hba15ns1-Weekday-02","20150120",2
"BUSS12015-hba15ns1-Weekday-02","20150121",2
"BUSS12015-hba15ns1-Weekday-02","20150122",2
"BUSS12015-hba15ns1-Weekday-02","20150123",2
"BUSS12015-hba15ns1-Weekday-02","20150126",2
"BUSS12015-hba15ns1-Weekday-02","20150127",2
"BUSS12015-hba15ns1-Weekday-02","20150128",2
"BUSS12015-hba15ns1-Weekday-02","20150129",2
"BUSS12015-hba15ns1-Weekday-02","20150130",2
"BUSS12015-hba15ns1-Weekday-02","20150202",2
"BUSS12015-hba15ns1-Weekday-02","20150203",2
"BUSS12015-hba15ns1-Weekday-02","20150204",2
"BUSS12015-hba15ns1-Weekday-02","20150205",2
"BUSS12015-hba15ns1-Weekday-02","20150206",2
"BUSS12015-hba15ns1-Weekday-02","20150209",2
"BUSS12015-hba15ns1-Weekday-02","20150210",2
"BUSS12015-hba15ns1-Weekday-02","20150211",2
"BUSS12015-hba15ns1-Weekday-02","20150212",2
"BUSS12015-hba15ns1-Weekday-02","20150213",2
"BUSS12015-hba15ns1-Weekday-02","20150216",2
"BUSS12015-hba15os1-Weekday-02","20150105",2
"BUSS12015-hba15os1-Weekday-02","20150106",2
"BUSS12015-hba15os1-Weekday-02","20150107",2
"BUSS12015-hba15os1-Weekday-02","20150108",2
"BUSS12015-hba15os1-Weekday-02","20150109",2
"BUSS12015-hba15os1-Weekday-02","20150112",2
"BUSS12015-hba15os1-Weekday-02","20150113",2
"BUSS12015-hba15os1-Weekday-02","20150114",2
"BUSS12015-hba15os1-Weekday-02","20150115",2
"BUSS12015-hba15os1-Weekday-02","20150116",2
"BUSS12015-hba15os1-Weekday-02","20150119",2
"BUSS12015-hba15os1-Weekday-02","20150120",2
"BUSS12015-hba15os1-Weekday-02","20150121",2
"BUSS12015-hba15os1-Weekday-02","20150122",2
"BUSS12015-hba15os1-Weekday-02","20150123",2
"BUSS12015-hba15os1-Weekday-02","20150126",2
"BUSS12015-hba15os1-Weekday-02","20150127",2
"BUSS12015-hba15os1-Weekday-02","20150128",2
"BUSS12015-hba15os1-Weekday-02","20150129",2
"BUSS12015-hba15os1-Weekday-02","20150130",2
"BUSS12015-hba15os1-Weekday-02","20150202",2
"BUSS12015-hba15os1-Weekday-02","20150203",2
"BUSS12015-hba15os1-Weekday-02","20150204",2
"BUSS12015-hba15os1-Weekday-02","20150205",2
"BUSS12015-hba15os1-Weekday-02","20150206",2
