"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"010016","42.3731777421","-71.118169996",10001
"010016","42.373268994","-71.1184629161",10002
"010016","42.3733525354","-71.1185823172",10003
"010016","42.373398852","-71.1186475416",10004
"010016","42.3736387829","-71.1188429769",10005
"010016","42.3739760486","-71.1189316142",10006
"010016","42.3740642846","-71.1188944444",10007
"010016","42.374254821","-71.1188411146",10008
"010016","42.3743414743","-71.1188231985",10009
"010016","42.3746116701","-71.1187116548",10010
"010016","42.3751441288","-71.118578914",10011
"010016","42.3751441288","-71.118578914",10012
"010016","42.3751441288","-71.118578914",20001
"010016","42.375448196","-71.1185034323",20002
"010016","42.3756390231","-71.1183723793",20003
"010016","42.375749796","-71.1182632741",20004
"010016","42.3758157922","-71.1181396352",20005
"010016","42.3758792805","-71.1180045383",20006
"010016","42.3759064604","-71.117843384",20007
"010016","42.3759154459","-71.1176571732",20008
"010016","42.3759039642","-71.1175876653",20009
"010016","42.3756236108","-71.1162141036",20010
"010016","42.3755843114","-71.1159497274",20011
"010016","42.375502326","-71.1156397197",20012
"010016","42.3752927116","-71.1152390773",20013
"010016","42.3750735097","-71.1149258365",20014
"010016","42.3748203278","-71.1144629201",20015
"010016","42.3746744875","-71.1145059988",20016
"010016","42.3746744875","-71.1145059988",30001
"010016","42.3742671222","-71.1146265382",30002
"010016","42.3723890698","-71.1151157443",30003
"010016","42.3723890698","-71.1151157443",40001
"010016","42.372298594","-71.1151392393",40002
"010016","42.3723169763","-71.1153844847",40003
"010016","42.372266839","-71.1154902599",40004
"010016","42.3722039888","-71.115569097",40005
"010016","42.3721310079","-71.1156546567",40006
"010016","42.3720756245","-71.1156686859",40007
"010016","42.3719971344","-71.1156658322",40008
"010016","42.3717669916","-71.11560913",40009
"010016","42.3716989399","-71.1156095436",40010
"010016","42.3716559157","-71.1156268282",40011
"010016","42.3715526937","-71.1156955478",40012
"010016","42.3714470576","-71.1158630896",40013
"010016","42.3713764782","-71.1159282798",40014
"010016","42.3710716409","-71.1161014706",40015
"010016","42.3710048923","-71.1159168439",40016
"010016","42.3710048923","-71.1159168439",50001
"010016","42.3707387321","-71.1151824066",50002
"010016","42.3704822915","-71.1144838121",50003
"010016","42.3703909077","-71.1142364289",50004
"010016","42.3701237854","-71.1134638956",50005
"010016","42.3701237854","-71.1134638956",60001
"010016","42.370084436","-71.1133497881",60002
"010016","42.3698231762","-71.1126086812",60003
"010016","42.3695602401","-71.1118601895",60004
"010016","42.3691618399","-71.1107350829",60005
