"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"57A","BUSS22-hba22011-Weekday-02","17461941","Kenmore Station via Brighton","",1,"A502-79","57A0005"
"57","BUSS22-hba22011-Weekday-02","17463501","Brighton Center","",1,"A505-110","570017"
"66","BUSS22-hba22011-Weekday-02","17463507","Brighton Center via Brookline","",0,"A501-55","660020"
"66","BUSS22-hba22011-Weekday-02","17463508","Brighton Center via Brookline","",0,"A501-59","660020"
"66","BUSS22-hba22011-Weekday-02","17463509","Brighton Center via Brookline","",0,"A501-61","660020"
"57","BUSS22-hba22011-Weekday-02","17463510","Watertown Yard via Kenmore Station","",0,"A57-1","570021"
"747","BUSS22-hba22011-Weekday-02","17463511","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463512","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"57","BUSS22-hba22011-Weekday-02","17463517","Brighton Center","",1,"A65-46","570017"
"747","BUSS22-hba22011-Weekday-02","17463523","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-177","7470007"
"747","BUSS22-hba22011-Weekday-02","17463524","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463525","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-179","7470007"
"747","BUSS22-hba22011-Weekday-02","17463526","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463527","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-175","7470007"
"747","BUSS22-hba22011-Weekday-02","17463528","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463529","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-177","7470007"
"747","BUSS22-hba22011-Weekday-02","17463530","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463531","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-179","7470007"
"747","BUSS22-hba22011-Weekday-02","17463532","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463533","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463534","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463535","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463536","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463537","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463538","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463539","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463540","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463541","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-174","7470007"
"747","BUSS22-hba22011-Weekday-02","17463542","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463543","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463544","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463545","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-180","7470007"
"747","BUSS22-hba22011-Weekday-02","17463546","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-174","7470007"
"747","BUSS22-hba22011-Weekday-02","17463547","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463548","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463549","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-178","7470007"
"747","BUSS22-hba22011-Weekday-02","17463550","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-180","7470007"
"747","BUSS22-hba22011-Weekday-02","17463551","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-174","7470007"
"747","BUSS22-hba22011-Weekday-02","17463552","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-173","7470007"
"747","BUSS22-hba22011-Weekday-02","17463553","Sullivan Station via Kendall/MIT - Limited Stops","",0,"A747-176","7470007"
"747","BUSS22-hba22011-Weekday-02","17463554","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-175","7470009"
"747","BUSS22-hba22011-Weekday-02","17463555","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-177","7470009"
"747","BUSS22-hba22011-Weekday-02","17463556","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463557","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-179","7470009"
"747","BUSS22-hba22011-Weekday-02","17463558","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"747","BUSS22-hba22011-Weekday-02","17463559","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-175","7470009"
"747","BUSS22-hba22011-Weekday-02","17463560","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-176","7470009"
"747","BUSS22-hba22011-Weekday-02","17463561","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463562","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-179","7470009"
"747","BUSS22-hba22011-Weekday-02","17463563","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"747","BUSS22-hba22011-Weekday-02","17463564","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-176","7470009"
"747","BUSS22-hba22011-Weekday-02","17463565","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463566","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"747","BUSS22-hba22011-Weekday-02","17463567","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-176","7470009"
"747","BUSS22-hba22011-Weekday-02","17463568","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463569","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"747","BUSS22-hba22011-Weekday-02","17463570","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-176","7470009"
"747","BUSS22-hba22011-Weekday-02","17463571","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463572","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-174","7470009"
"747","BUSS22-hba22011-Weekday-02","17463573","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"747","BUSS22-hba22011-Weekday-02","17463574","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-176","7470009"
"747","BUSS22-hba22011-Weekday-02","17463575","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463576","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-180","7470009"
"747","BUSS22-hba22011-Weekday-02","17463577","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-174","7470009"
"747","BUSS22-hba22011-Weekday-02","17463578","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-173","7470009"
"747","BUSS22-hba22011-Weekday-02","17463579","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-176","7470009"
"747","BUSS22-hba22011-Weekday-02","17463580","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-178","7470009"
"747","BUSS22-hba22011-Weekday-02","17463581","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-180","7470009"
"747","BUSS22-hba22011-Weekday-02","17463582","Ruggles via Kendall/MIT - Limited Stops","",1,"A747-174","7470009"
"57","BUSS22-hba22011-Weekday-02","17463583","Kenmore Station via Brighton","",1,"A57-19","570002"
"57","BUSS22-hba22011-Weekday-02","17463584","Watertown Yard via Brighton","",0,"A57-19","570003"
"57","BUSS22-hba22011-Weekday-02","17463587","Kenmore Station","",1,"A57-17","570018"
"66","BUSS22-hba22011-Weekday-02","17463588","Union Square, Allston via Brookline","",0,"A65-43","660019"
"57","BUSS22-hba22011-Weekday-02","17463608","Oak Square via Cambridge St.","",0,"A65-43","570020"
"66","BUSS22-hba22011-Weekday-02","17463610","Brighton Center via Brookline","",0,"A65-46","660020"
"66","BUSS22-hba22011-Weekday-02","17463611","Brighton Center via Brookline","",0,"A501-60","660020"
"66","BUSS22-hba22011-Weekday-02","17463612","Brighton Center via Brookline","",0,"A501-62","660020"
"66","BUSS22-hba22011-Weekday-02","17463613","Brighton Center via Brookline","",0,"A501-56","660020"
