trip_id,start_time,end_time,headway_secs,exact_times
weekday-360-540-dir-0-rte-79bab5d,06:00:00,09:00:00,300,0
weekday-540-960-dir-0-rte-79bab5d,09:00:00,16:00:00,600,0
weekday-960-1140-dir-0-rte-79bab5d,16:00:00,19:00:00,300,0
weekday-1140-1380-dir-0-rte-79bab5d,19:00:00,23:00:00,600,0
saturday-360-1380-dir-0-rte-79bab5d,06:00:00,23:00:00,600,0
sunday-360-1380-dir-0-rte-79bab5d,06:00:00,23:00:00,600,0
weekday-360-540-dir-1-rte-79bab5d,06:00:00,09:00:00,300,0
weekday-540-960-dir-1-rte-79bab5d,09:00:00,16:00:00,600,0
weekday-960-1140-dir-1-rte-79bab5d,16:00:00,19:00:00,300,0
weekday-1140-1380-dir-1-rte-79bab5d,19:00:00,23:00:00,600,0
saturday-360-1380-dir-1-rte-79bab5d,06:00:00,23:00:00,600,0
sunday-360-1380-dir-1-rte-79bab5d,06:00:00,23:00:00,600,0
weekday-360-540-dir-0-rte-93c4f45,06:00:00,09:00:00,600,0
weekday-540-960-dir-0-rte-93c4f45,09:00:00,16:00:00,300,0
weekday-960-1140-dir-0-rte-93c4f45,16:00:00,19:00:00,600,0
weekday-1140-1380-dir-0-rte-93c4f45,19:00:00,23:00:00,900,0
saturday-360-1380-dir-0-rte-93c4f45,06:00:00,23:00:00,600,0
sunday-360-1380-dir-0-rte-93c4f45,06:00:00,23:00:00,600,0
weekday-360-540-dir-1-rte-93c4f45,06:00:00,09:00:00,600,0
weekday-540-960-dir-1-rte-93c4f45,09:00:00,16:00:00,300,0
weekday-960-1140-dir-1-rte-93c4f45,16:00:00,19:00:00,600,0
weekday-1140-1380-dir-1-rte-93c4f45,19:00:00,23:00:00,900,0
saturday-360-1380-dir-1-rte-93c4f45,06:00:00,23:00:00,600,0
sunday-360-1380-dir-1-rte-93c4f45,06:00:00,23:00:00,600,0
weekday-360-540-dir-0-rte-80d18a0,06:00:00,09:00:00,300,0
weekday-540-960-dir-0-rte-80d18a0,09:00:00,16:00:00,600,0
weekday-960-1140-dir-0-rte-80d18a0,16:00:00,19:00:00,300,0
weekday-1140-1380-dir-0-rte-80d18a0,19:00:00,23:00:00,600,0
saturday-360-1380-dir-0-rte-80d18a0,06:00:00,23:00:00,600,0
sunday-360-1380-dir-0-rte-80d18a0,06:00:00,23:00:00,600,0
weekday-360-540-dir-1-rte-80d18a0,06:00:00,09:00:00,300,0
weekday-540-960-dir-1-rte-80d18a0,09:00:00,16:00:00,600,0
weekday-960-1140-dir-1-rte-80d18a0,16:00:00,19:00:00,300,0
weekday-1140-1380-dir-1-rte-80d18a0,19:00:00,23:00:00,600,0
saturday-360-1380-dir-1-rte-80d18a0,06:00:00,23:00:00,600,0
sunday-360-1380-dir-1-rte-80d18a0,06:00:00,23:00:00,600,0
weekday-360-540-dir-0-rte-82b1f8c,06:00:00,09:00:00,600,0
weekday-540-960-dir-0-rte-82b1f8c,09:00:00,16:00:00,300,0
weekday-960-1140-dir-0-rte-82b1f8c,16:00:00,19:00:00,600,0
weekday-1140-1380-dir-0-rte-82b1f8c,19:00:00,23:00:00,900,0
saturday-360-1380-dir-0-rte-82b1f8c,06:00:00,23:00:00,600,0
sunday-360-1380-dir-0-rte-82b1f8c,06:00:00,23:00:00,600,0
weekday-360-540-dir-1-rte-82b1f8c,06:00:00,09:00:00,600,0
weekday-540-960-dir-1-rte-82b1f8c,09:00:00,16:00:00,300,0
weekday-960-1140-dir-1-rte-82b1f8c,16:00:00,19:00:00,600,0
weekday-1140-1380-dir-1-rte-82b1f8c,19:00:00,23:00:00,900,0
saturday-360-1380-dir-1-rte-82b1f8c,06:00:00,23:00:00,600,0
sunday-360-1380-dir-1-rte-82b1f8c,06:00:00,23:00:00,600,0
weekday-360-540-dir-0-rte-ada6889,06:00:00,09:00:00,300,0
weekday-540-960-dir-0-rte-ada6889,09:00:00,16:00:00,600,0
weekday-960-1140-dir-0-rte-ada6889,16:00:00,19:00:00,300,0
weekday-1140-1380-dir-0-rte-ada6889,19:00:00,23:00:00,600,0
saturday-360-1380-dir-0-rte-ada6889,06:00:00,23:00:00,600,0
sunday-360-1380-dir-0-rte-ada6889,06:00:00,23:00:00,600,0
weekday-360-540-dir-1-rte-ada6889,06:00:00,09:00:00,300,0
weekday-540-960-dir-1-rte-ada6889,09:00:00,16:00:00,600,0
weekday-960-1140-dir-1-rte-ada6889,16:00:00,19:00:00,300,0
weekday-1140-1380-dir-1-rte-ada6889,19:00:00,23:00:00,600,0
saturday-360-1380-dir-1-rte-ada6889,06:00:00,23:00:00,600,0
sunday-360-1380-dir-1-rte-ada6889,06:00:00,23:00:00,600,0
