trip_id,stop_id,stop_sequence,shape_dist_traveled,arrival_time,departure_time
weekday-360-540-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,1,0,06:00:00,06:00:00
weekday-360-540-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,2,571.7024316771813,06:04:23,06:04:23
weekday-360-540-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,3,1107.918215009561,06:08:31,06:08:31
weekday-360-540-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,4,2012.217827363015,06:15:29,06:15:29
weekday-360-540-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,5,3147.551463366538,06:24:13,06:24:13
weekday-360-540-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,6,4286.0911641955545,06:32:59,06:32:59
weekday-360-540-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,7,4853.628410475854,06:37:21,06:37:21
weekday-360-540-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,8,5785.66101389642,06:44:31,06:44:31
weekday-360-540-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,9,6509.567743438622,06:50:05,06:50:05
weekday-360-540-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,10,7097.1108836321555,06:54:37,06:54:37
weekday-540-960-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,1,0,09:00:00,09:00:00
weekday-540-960-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,2,571.7024316771813,09:04:11,09:04:11
weekday-540-960-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,3,1107.918215009561,09:08:08,09:08:08
weekday-540-960-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,4,2012.217827363015,09:14:46,09:14:46
weekday-540-960-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,5,3147.551463366538,09:23:07,09:23:07
weekday-540-960-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,6,4286.0911641955545,09:31:29,09:31:29
weekday-540-960-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,7,4853.628410475854,09:35:39,09:35:39
weekday-540-960-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,8,5785.66101389642,09:42:30,09:42:30
weekday-540-960-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,9,6509.567743438622,09:47:49,09:47:49
weekday-540-960-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,10,7097.1108836321555,09:52:08,09:52:08
weekday-960-1140-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,1,0,16:00:00,16:00:00
weekday-960-1140-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,2,571.7024316771813,16:04:23,16:04:23
weekday-960-1140-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,3,1107.918215009561,16:08:31,16:08:31
weekday-960-1140-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,4,2012.217827363015,16:15:29,16:15:29
weekday-960-1140-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,5,3147.551463366538,16:24:13,16:24:13
weekday-960-1140-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,6,4286.0911641955545,16:32:59,16:32:59
weekday-960-1140-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,7,4853.628410475854,16:37:21,16:37:21
weekday-960-1140-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,8,5785.66101389642,16:44:31,16:44:31
weekday-960-1140-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,9,6509.567743438622,16:50:05,16:50:05
weekday-960-1140-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,10,7097.1108836321555,16:54:37,16:54:37
weekday-1140-1380-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,1,0,19:00:00,19:00:00
weekday-1140-1380-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,2,571.7024316771813,19:04:23,19:04:23
weekday-1140-1380-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,3,1107.918215009561,19:08:31,19:08:31
weekday-1140-1380-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,4,2012.217827363015,19:15:29,19:15:29
weekday-1140-1380-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,5,3147.551463366538,19:24:13,19:24:13
weekday-1140-1380-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,6,4286.0911641955545,19:32:59,19:32:59
weekday-1140-1380-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,7,4853.628410475854,19:37:21,19:37:21
weekday-1140-1380-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,8,5785.66101389642,19:44:31,19:44:31
weekday-1140-1380-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,9,6509.567743438622,19:50:05,19:50:05
weekday-1140-1380-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,10,7097.1108836321555,19:54:37,19:54:37
saturday-360-1380-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,1,0,06:00:00,06:00:00
saturday-360-1380-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,2,571.7024316771813,06:03:59,06:03:59
saturday-360-1380-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,3,1107.918215009561,06:07:45,06:07:45
saturday-360-1380-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,4,2012.217827363015,06:14:04,06:14:04
saturday-360-1380-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,5,3147.551463366538,06:22:01,06:22:01
saturday-360-1380-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,6,4286.0911641955545,06:29:59,06:29:59
saturday-360-1380-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,7,4853.628410475854,06:33:57,06:33:57
saturday-360-1380-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,8,5785.66101389642,06:40:28,06:40:28
saturday-360-1380-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,9,6509.567743438622,06:45:32,06:45:32
saturday-360-1380-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,10,7097.1108836321555,06:49:39,06:49:39
sunday-360-1380-dir-0-rte-79bab5d,st-0-dir-0-rte-79bab5d,1,0,06:00:00,06:00:00
sunday-360-1380-dir-0-rte-79bab5d,st-1-dir-0-rte-79bab5d,2,571.7024316771813,06:03:59,06:03:59
sunday-360-1380-dir-0-rte-79bab5d,st-2-dir-0-rte-79bab5d,3,1107.918215009561,06:07:45,06:07:45
sunday-360-1380-dir-0-rte-79bab5d,st-3-dir-0-rte-79bab5d,4,2012.217827363015,06:14:04,06:14:04
sunday-360-1380-dir-0-rte-79bab5d,st-4-dir-0-rte-79bab5d,5,3147.551463366538,06:22:01,06:22:01
sunday-360-1380-dir-0-rte-79bab5d,st-5-dir-0-rte-79bab5d,6,4286.0911641955545,06:29:59,06:29:59
sunday-360-1380-dir-0-rte-79bab5d,st-6-dir-0-rte-79bab5d,7,4853.628410475854,06:33:57,06:33:57
sunday-360-1380-dir-0-rte-79bab5d,st-7-dir-0-rte-79bab5d,8,5785.66101389642,06:40:28,06:40:28
sunday-360-1380-dir-0-rte-79bab5d,st-8-dir-0-rte-79bab5d,9,6509.567743438622,06:45:32,06:45:32
sunday-360-1380-dir-0-rte-79bab5d,st-9-dir-0-rte-79bab5d,10,7097.1108836321555,06:49:39,06:49:39
weekday-360-540-dir-1-rte-79bab5d,st-0-dir-1-rte-79bab5d,1,0,06:00:00,06:00:00
weekday-360-540-dir-1-rte-79bab5d,st-1-dir-1-rte-79bab5d,2,750.6984856237716,06:05:46,06:05:46
weekday-360-540-dir-1-rte-79bab5d,st-2-dir-1-rte-79bab5d,3,1427.9238089064177,06:10:59,06:10:59
weekday-360-540-dir-1-rte-79bab5d,st-3-dir-1-rte-79bab5d,4,2386.226250708034,06:18:21,06:18:21
weekday-360-540-dir-1-rte-79bab5d,st-4-dir-1-rte-79bab5d,5,3016.334190223687,06:23:12,06:23:12
weekday-360-540-dir-1-rte-79bab5d,st-5-dir-1-rte-79bab5d,6,4065.8942886370687,06:31:17,06:31:17
weekday-360-540-dir-1-rte-79bab5d,st-6-dir-1-rte-79bab5d,7,5192.499886288375,06:39:57,06:39:57
weekday-360-540-dir-1-rte-79bab5d,st-7-dir-1-rte-79bab5d,8,6099.4509001234765,06:46:56,06:46:56
weekday-360-540-dir-1-rte-79bab5d,st-8-dir-1-rte-79bab5d,9,6625.623593235136,06:50:59,06:50:59
weekday-360-540-dir-1-rte-79bab5d,st-9-dir-1-rte-79bab5d,10,7179.620716636472,06:55:15,06:55:15
weekday-540-960-dir-1-rte-79bab5d,st-0-dir-1-rte-79bab5d,1,0,09:00:00,09:00:00
weekday-540-960-dir-1-rte-79bab5d,st-1-dir-1-rte-79bab5d,2,750.6984856237716,09:05:30,09:05:30
weekday-540-960-dir-1-rte-79bab5d,st-2-dir-1-rte-79bab5d,3,1427.9238089064177,09:10:29,09:10:29
weekday-540-960-dir-1-rte-79bab5d,st-3-dir-1-rte-79bab5d,4,2386.226250708034,09:17:31,09:17:31
weekday-540-960-dir-1-rte-79bab5d,st-4-dir-1-rte-79bab5d,5,3016.334190223687,09:22:09,09:22:09
weekday-540-960-dir-1-rte-79bab5d,st-5-dir-1-rte-79bab5d,6,4065.8942886370687,09:29:52,09:29:52
weekday-540-960-dir-1-rte-79bab5d,st-6-dir-1-rte-79bab5d,7,5192.499886288375,09:38:08,09:38:08
weekday-540-960-dir-1-rte-79bab5d,st-7-dir-1-rte-79bab5d,8,6099.4509001234765,09:44:48,09:44:48
weekday-540-960-dir-1-rte-79bab5d,st-8-dir-1-rte-79bab5d,9,6625.623593235136,09:48:40,09:48:40
weekday-540-960-dir-1-rte-79bab5d,st-9-dir-1-rte-79bab5d,10,7179.620716636472,09:52:44,09:52:44
weekday-960-1140-dir-1-rte-79bab5d,st-0-dir-1-rte-79bab5d,1,0,16:00:00,16:00:00
weekday-960-1140-dir-1-rte-79bab5d,st-1-dir-1-rte-79bab5d,2,750.6984856237716,16:05:46,16:05:46
weekday-960-1140-dir-1-rte-79bab5d,st-2-dir-1-rte-79bab5d,3,1427.9238089064177,16:10:59,16:10:59
weekday-960-1140-dir-1-rte-79bab5d,st-3-dir-1-rte-79bab5d,4,2386.226250708034,16:18:21,16:18:21
weekday-960-1140-dir-1-rte-79bab5d,st-4-dir-1-rte-79bab5d,5,3016.334190223687,16:23:12,16:23:12
weekday-960-1140-dir-1-rte-79bab5d,st-5-dir-1-rte-79bab5d,6,4065.8942886370687,16:31:17,16:31:17
weekday-960-1140-dir-1-rte-79bab5d,st-6-dir-1-rte-79bab5d,7,5192.499886288375,16:39:57,16:39:57
weekday-960-1140-dir-1-rte-79bab5d,st-7-dir-1-rte-79bab5d,8,6099.4509001234765,16:46:56,16:46:56
weekday-960-1140-dir-1-rte-79bab5d,st-8-dir-1-rte-79bab5d,9,6625.623593235136,16:50:59,16:50:59
weekday-960-1140-dir-1-rte-79bab5d,st-9-dir-1-rte-79bab5d,10,7179.620716636472,16:55:15,16:55:15
weekday-1140-1380-dir-1-rte-79bab5d,st-0-dir-1-rte-79bab5d,1,0,19:00:00,19:00:00
weekday-1140-1380-dir-1-rte-79bab5d,st-1-dir-1-rte-79bab5d,2,750.6984856237716,19:05:46,19:05:46
weekday-1140-1380-dir-1-rte-79bab5d,st-2-dir-1-rte-79bab5d,3,1427.9238089064177,19:10:59,19:10:59
weekday-1140-1380-dir-1-rte-79bab5d,st-3-dir-1-rte-79bab5d,4,2386.226250708034,19:18:21,19:18:21
weekday-1140-1380-dir-1-rte-79bab5d,st-4-dir-1-rte-79bab5d,5,3016.334190223687,19:23:12,19:23:12
weekday-1140-1380-dir-1-rte-79bab5d,st-5-dir-1-rte-79bab5d,6,4065.8942886370687,19:31:17,19:31:17
weekday-1140-1380-dir-1-rte-79bab5d,st-6-dir-1-rte-79bab5d,7,5192.499886288375,19:39:57,19:39:57
weekday-1140-1380-dir-1-rte-79bab5d,st-7-dir-1-rte-79bab5d,8,6099.4509001234765,19:46:56,19:46:56
weekday-1140-1380-dir-1-rte-79bab5d,st-8-dir-1-rte-79bab5d,9,6625.623593235136,19:50:59,19:50:59
